a	art.一(个，件，...)
kirtle	n. (女用) 长袍,短裙 ,男用短上衣
kismet	n. 命运，命定
kiss	n.&vt.吻 vi.接吻
kiss off	解雇，辞退
kit	n.成套工具；用具包
kitchen	n.厨房，灶间
kite	n.风筝
kite flyer	用开空头支票者
kite-flyer	n.开空头支票者
kith	n.朋友,熟人
kiting	开空头支票
kiting check	空头支票
kitten	n. 小猫
kitty	n. 小猫,全部赌注
klarke	克拉克(男名)
kleptomania	n. 盗窃癖
kleptomaniac	n. 有窃盗癖的人
knack	n. 决窍；技巧；习惯；特殊能力，窍门
knapsack	n. 背包
knave	n. 不诚实的人，无赖
knavery	n. 恶棍的行为,欺诈,恶行
knavish	adj. (像) 恶棍的,无赖的,狡诈的
knead	vt. 揉,按摩,捏制
knee	n.膝，膝盖，膝关节
kneel	vi.跪着；跪下
knell	n. 丧钟声,哀伤的声音,凶兆
knelt	kneel的过去式(分词)
knew	know 的过去式；知道
knickerbockers	 n. pl. 灯笼裤
knife	n.小刀
knight	n.骑士，武士；爵士
knighthood	n. 骑士身分,骑士气质,骑士团
knightly	a. 骑士的,勇敢的,侠义的
knit	vt.把…编结 vi.编织
knitter	n. 编织者,针织工
knitting	n. 编织(物)；接合；联合
knives	刀子(复数)；knife的复数；小刀
knob	n.门把，拉手；旋纽
knock	vi.敲；击，打
knock against	碰上，偶然碰见
knock at	敲(门，窗等)
knock down	撞倒；击落；拆除；拍板成交；击倒
knock into sb.	撞在某人身上
knock into someone	撞在某人身上
knock off	把…敲掉；击倒；停工
knock out	敲空；(拳击中)击倒；打破；打落；打败；击昏
knock out of	从…中敲出来
knock up against	碰撞；同…冲突
knock...into...	把…插进；把…敲进
knock-down export	拆散输出
knock-down price	拍卖的最低价格
knocker	n. 敲击的人，门环
knoll	n. 小圆丘
knot	n.(绳的)结，(树的)节
knotty	adj. 有节疤的，困难的
know	vt.知道；认识；通晓
know about	了解，知道…的情况
know better than	很懂得(而不至于)
know no bounds	无限，极为
know sb. by name	只知道某人的名字
know-all	n. 自称无所不知的人
know-how	n. 专项技术，诀窍
knowing	a. 博学的,聪颖的,精明的
knowingly	ad. 狡黠地，机警地
knowledge	n.知识，学识；知道
knowledgeable	adj有见识的；博学的；有丰富知识的，知识渊博的
known	know过去分词；知道；了解；知名的；已知的；大家知道的
known liability	已知负债
known loss	已知损失
knuckle	n.指节,蹄爪,膝关节
kodak	n. 柯达
kohlrabi	n. 大头菜
kont	v. 打结；节(海时／小时)
Koran	n. 可兰经
kudos	n. 荣誉，称赞(单复数同)；名声
l/c	n. (缩)信用证
la	n. 第六音；a音的唱名
lab	n.研究室；(缩)实验室
label	n.标签；标记，符号
labeled	a. 有标号的
labial	a. 唇的,嘴唇的,唇音的
labile	adj. 易变的，不稳定的
labor	n. 劳动,努力,分娩,劳工,工作
labor agreement	劳资协议
labor and capital	劳动与资本
labor day	工作日
labor grade	劳动力等级
labor hour	工时
labor insurance	劳动保险
labor law	劳动法
labor surplus	劳力过剩
labor trouble	劳资纠纷
labor turnover	人工周转率
laboratory	n.实验室
laborer	n. 劳动者,劳工
labor-intensive	adj. 劳动密集型的
laborious	adj. 费力的，吃力的
labour	n.劳动
labour along	缓慢而费力地前进
laboured	adj. 吃力的，(文体)不自然的
labrador	n. 拉布拉多猎狗
labrary	图书馆
lab-technician	n. 化验员；技术员
laburnum	n. 金链花
labyrinth	n. 迷宫
labyrinthine	adj. 迷宫的; 迷宫似的
lace	n.鞋带，系带；花边
lacerate	v. 撕裂，伤害
laceration	n. 撕裂，裂口
lacework	n. 网状物
lachrymal	a. 泪的,流泪的,啜泣的,泪腺的
lachrymose	adj. 好流泪的，引人落泪的
lack	n.,vi.&vt.缺乏，没有
lack of	缺乏
lack of conformity	不符合
lack of demand	需要不足
lack of panic	没有惊慌
lack of supplies	货源缺乏
lackadaisical	adj. 无精打采的，无兴趣的
lackey	n. 卑躬屈膝者，走卒
lacking	a. 缺少的，没有的
lacklustre	adj. 无光泽的呆滞的
laconic	adj. （用字）简洁的
lacquer	n. 漆；漆器
lacteal	a. 乳的,乳状的,输入乳糜的
lactic	adj. 乳汁的
lactic acid	乳酸
lacuna	n. 空隙；脱漏
lad	n.少年；小伙子
ladder	n.梯子，梯状物
lade	vt. 装载；汲取；塞满
laden	lade的过去分词；adj. 装满的，充满了的
laden in bulk	散装的
laden with	充满…
lading	n. 装载,装船,船货
ladle	n. 杓子,长柄杓
lady	n.女士；有教养的妇女
lady bird	n. 瓢虫
lady silkworm	蚕花娘子
ladybug	n. 瓢虫
ladylike	a. 娴淑的,如淑女的,高雅的
ladyship	n. 夫人的身分,夫人,小姐
lag	vi.走得慢 n.落后
laggard	adj. 缓慢的，落后的，n. 落后者
lagging indicator	滞后指标
lagniappe	n. 免费赠品
lagoon	n.泻湖
laid	vt.lay(放)的过去式和过去分词
lain	vi. lie(位于)(平放)的过去分词；平躺；位于
lair	n. 野兽的巢穴，躲藏处
laird	n. 地主,领主
laity	n. 信徒，外行
lake	n.湖
lam	vt. 鞭打；越狱
lama	n. 喇嘛
lamb	n.羔羊，小羊；羔羊肉
lambaste	v. 痛打，痛骂
lambent	a. 轻轻摇曳的,柔和而光亮的,轻妙的
lambskin	n. 小羊皮,羊皮纸
lame	adj.跛的，瘸的
lame duck	破产者商业上无信用的
lame imitation	低劣的，仿制品
lameness	n. 跛,瘸,残废
lament	n./v. 悲伤、哀悼
lamentable	adj. 令人惋惜的，悔恨的
lamentation	n. 悲叹,哀悼
laminate	v. 切成薄板(片)
laminated	n. 叠片
lamp	n.灯
lamp post	n. 灯柱
lampoon	n. 讽刺文章v. 讽刺
lampooner	n. 讽刺作家
lamppost	n. 街灯柱
lance	n. 长矛、鱼叉
lancet	n. 刺血针,小枪,尖顶窗
lancinate	v. 刺，戳
land	n.陆地
land agent	地产经理人，地产商
land bridge	地峡
land jobber	地产投机商地
land mass	地块
land price	地价
land rental	土地租赁
land resources	土地资源
land scale	大规模
land speculation	土地投机
landed	adj. 卸货的
landed cost	卸岸成本
landed price	卸岸价格
landed quality	卸货质量
landed terms	岸上交货条件
landed weight	到岸重量，卸货重量
landfall	n. 初见陆地
landing	n.上岸，登陆，着陆
landing account	卸货报告，栈单
landing card	入境卡
landing certificate	上岩证明书
landing charge	卸货费
landing field	停机坪
landing order	卸货单
landing tax	入国境税，入境税
landing waiter	海关人员
landlady	n.女房东；女地主
landler	n. 兰德勒舞曲
landless	a. 无土(陆)地的
landlocked	adj. 被陆地，包围的
landlord	n.地主；房东，店主
landmark	n. 风景点；里程碑
landmass	n. 大片陆地
landowner	n. 地主
landscape	n.风景，景色，景致
landslide	n. 山崩，压倒性胜利
landsman	n. 同胞,未出过海的人
landward	 adj.  adv. 向陆地的
lane	n.(乡间)小路；跑道
language	n.语言
languid	adj. 没精打采的，怠倦的
languish	v. 衰弱，变得消瘦
languishing	adj. 衰弱下去的
languishment	n.衰弱; 憔悴
languor	n. 身心疲惫
lank	adj. 瘦削的，稀疏的
lanky	瘦长的
lantern	n.提灯，灯笼
lap	n.膝部；一圈
lapel	n. 翻领
lapful	n. 满膝,满兜
lapidary	n. 宝石工，宝石专家
lappet	n. 垂部,垂饰,垂布
lapse	n. 失误，（时间等）流逝
lapsed policy	失效保单
lapsed sales discounts	逾期销售折扣
laptop	n. 小型计算机
lapwing	n. 田凫
lar	n. 守护神
larboard	n. 左舷,左舷侧
larceny	n. 盗窃
larch	n. 落叶松
lard	n. 猪油
larder	n. 食物贮藏室,食品橱 
lares	n. 家神，守护神
large	adj.大的；巨大的
large amounts of	大量
large quantity	大量
largely	ad.大部分；大量地
largeness	n. 巨大,广大,大量
large-scale	a. 大规模的
largess	n. 慷慨的赠与
largesse	n. 慷慨援助，施舍
lark	n. 玩笑，嬉耍
larkspur	n. 燕草属植物
larva	n. （昆虫的）幼虫
larval	a. 幼虫的,幼虫状态的
laryngitis	n. 喉炎
larynx	n. 喉
lascivious	adj. 淫乱的，好色的
lase	v. 发射激光
laser	n.激光
lash	n. 鞭子，鞭打
lass	n. 少女,爱人,情妇
lassie	n. 少女,姑娘,恋人
lassitude	n. 无力，没精打采
lasso	n. 套索（捕捉牛、马用）
last	a.最后的 ad.最后
last cost	最后成本
last cry first-out	最新流行品
last night	昨天晚上
last sale	交易所当天收盘价
last saturday	上星期六
last trading day	抵销交货最后日
last week	上星期；上周
last word	定论
last year	去年
lasting	a. 永久的,永恒的,持久的
lastly	ad. 最后,终于
lat	n. 纬度；地区(lat＝latitude)
latch	n. 门闩
latchet	n. 鞋带
late	a.迟的 ad.迟，晚
late payment	逾期付款
lately	ad.最近，不久前
latency	n. 潜伏期
latent	a.存在但看不见的
latent defect	潜在缺陷
latent dishonor	潜在(票据)拒付
later	adv. 以后，后来；更晚，；较晚；过一会儿；过后；a. 更后的，后面的；较迟的，较近
later on	过后；以后
lateral	adj. 横向的，侧向的；侧面的；旁边的
latest	a. 新近的
latex	n. 胶乳，乳液
lath	n. 板条,瘦人
lathe	n.车床 vt.用车床加工
lather	n. 肥皂泡
Latin	a.拉丁的 n.拉丁语
latin america	n. 拉丁美洲
latin family	拉丁语族
latitude	n.纬度；黄纬
lattace	n. 格子
latter	a.(两者中)后者的
lattice	n. 格子；点阵，网络；结构，(做篱笆或爬藤架等的)格子架
laud	v. 称赞
laudable	adj. 值得称赞的
laudanum	n. 鸦片酊
laudation	n. 赞美,赞赏
laudatory	adj. 表扬的，赞扬的
laugh	vi.笑，发笑 n.笑
laugh at	因…而发笑；嘲笑；笑，讥笑
laugh off	用笑摆脱(困境等)
laugh over	笑着谈论
laughable	a. 可笑的,有趣的
laugh-maker	n. 逗笑的人
laughter	n.笑，笑声
launch	vt.发射;发动(战争等)
launch balloon	n. 发射气球
launch out	(船)下水；开始新事情
launder	n. 流槽
laundress	n. 洗衣女工
laundry	n.送洗衣店去洗的东西
laundryman	 n. 洗衣业者; 洗衣匠
laureate	a. 戴桂冠的,用月桂树造的,荣誉的
laurel	n. 月桂树，桂冠
laurels	n. 荣誉
lava	n. 熔岩
lavatory	n.盥洗室，厕所
lave	v. 洗浴，慢慢冲刷
lavender	n. 薰衣草adj. 淡紫色的
laver	n. 水盆,紫菜类
lavish	a. 浪费的；过度的
lavish expenditure	滥支
lavish hospitality	盛情款待
lavish shopping area	购物中心区
lavishly	ad. 慷慨地；大方地
law	n.法律，法令
law court	法院，法庭
law of bankruptcy	破产法
law of bills	票据法
law of contract	契约法，合同法
law of corporation	公司法
law of demand	需求法则
law of diminishing returns	报酬递减律
law of diminishing utility	效用递减律
law of obligation	债权法
law of satiation	欲望满足律
law officer	司法官
law suit	诉讼案件
lawbook	n. 法律学课本；法典
lawful	a. 法律许可的,守法的,合法的
lawful bearer	合法持票人
lawgiver	n. 立法者
lawless	a. 非法的,违法的
lawmaker	n. 立法者
lawn	n.草地，草坪，草场
lawn tennis	草地网球
lawn-mower	n. 草坪割草机
lawsuit	n. 诉讼,控诉
lawyer	n.律师；法学家
lawyer's office	律师事务所
lax	adj. 懒散的，松弛的
laxative	n. 轻泻药adj. 通便的，放松的
laxity	n. 松弛，放纵
lay	vt.放，搁；下(蛋)
lay an indictment	提起公诉
lay aside	把…放在一边；储存；储蓄；把…搁置一边
lay ban on export	禁止出口
lay bare	揭露
lay corporation	世俗公司
lay damage	要求赔偿
lay days	装卸时间，装卸日数
lay down	放下；铺设(铁路)；制定，拟定
lay eggs	下蛋
lay hold of	握住；控制住；占有
lay in	贮存，贮藏
lay off	停止；(临时)解雇；暂时解雇
lay out	花费；布置；摆开；拟订；安排；设计；制定
lay over	涂，覆盖；压倒；使延期
lay paper	开空头支票，用假钞票
lay sth aside	储蓄；放一边
lay sth bare	显示，表露
lay sth on	安装，提供
lay sth out	展示，摆开，布置，设计
lay time	对…征税
lay to	把(功、过)归于
lay up	贮存，储蓄；暂停使用
lay up refund	订货到收货时间间隔
lay up return	停航退费
lay waste	损毁，蹂躏
layday	n. 装卸日期
layer	n.层，层次；铺设者
layette	n. 新生婴儿所用的全套衣服用品
laying	n. 铺设
laying-out	n. 布置
layman	n. 普通信徒，门外汉
layoff	n.临时解雇，停工
layout	n.布局，安排，设计
lay-person	n. 外行；俗人
lazar	n. 穷病人
laze	n. 懒散；v. 混的；懒惰，混日子
lazily	ad. 懒惰地，慢吞吞地
laziness	n. 怠惰,无精打采
lazy	adj.懒惰的
lazy-bones	n. 懒骨头
lea	n. 草地
leach	v. 分离，过滤掉
lead	vt.领导
lead a simple life	过着俭朴的生活
lead a...life	过…的生活
lead into	引入；以...作为结果；导
lead off	开始，开头，率先
lead the way	引路，带路；示范
lead to	导致；导向；影响；通向，引起
lead up to	把…一直带领到；导致；逐渐导致
leaden	a. 铅制的,呆滞的,铅灰色的,沉闷的
leader	n.领袖；领导人
leadership	n.领导
leading	a.指导的；最主要的
leading company	首席公司
leading indicator	超前指标
leaf	n.叶
leafless	a. 无叶的
leaflet	n.传单，活页；广告
leafy	a. 叶茂盛的,多叶的,叶状的
league	n.联盟
league match	联赛
league member	团员；共青团员
leaguer	n. 围攻,盟员
leak	n.漏洞，漏隙
leakage	n.漏，泄漏；漏出物
leaky	a. 易漏的,有漏洞的,易泄漏秘密的
leal	a. 忠实的,诚实的
lean	vi.倾斜，屈身；靠
lean over	弯下身子；伏在…上面
leaning	adj. 倾斜的
leaning tower	斜塔
leanness	n. 贫瘠,无脂肪,贫弱
leap	vi.跃，跳
leap the pale	借债
leap year	闰年
lear	a. 空的；n. 学问，知识
learn	vi.&vt.学，学习
learn by heart	记住，背诵；背颂
learn by oneself	自学
learn from	学习，向…学习
learn of	听到；获悉…的事；获悉
learn off	记熟，背下来
learn sth by heart	记住，背下
learn sth the hard way	经过艰难困苦而学到
learned	a.有学问的；学术上的
learner	n. 学习者,初学者
learning	n.学习；学问，知识
learnt	learn的过去式(分词)；学习；学习(learnt=learned)
lease	n.租约，契约，租契
lease bond	租约
lease fixed assets	租赁的固定资产
lease furnishing	旅馆租用家具
lease in perpetuity	永租权
lease land	租赁地
lease purchase	租借购买
lease territory	租借地
leasehold	租赁，租约，租赁权；租借期
leasehold interest	租赁权利
leasehold property	租赁财产
leaseholder	租赁人，承租人
leaser	出租人
leash	n. 拴狗颈之皮带
leasing company	租赁公司
least	a.最少的 ad.最少
leather	n.皮革；皮革制品
leave	vt.离开;剩下 vi.离去
leave a message	留话
leave alone	听其自然，不要去管；不管，不理会；不打扰；让独自呆着；不干预
leave behind	丢弃；留下；忘记携带
leave for	动身去
leave in the air	搁置，使悬而未决；悬而不决
leave in the lurch	放弃有困难的人
leave in trust	委托
leave off	(使)停止；停下来；戒除；停止，中断
leave out	忽略，遗漏；省略；略去
leave sb alone	不干涉某人
leave sb behind	忘带，留下，放弃
leave sth out	遗漏
leave unpaid	置之不付
leave without pay	无薪假期，停薪留职
leaven	n. 发酵剂，影响力v. 发酵
leaves	叶子
lebanon	n. 黎巴嫩(亚洲)
lecherous	adj. 好色的
lechery	n. 好色，纵欲
lectern	n. 诵经台
lecture	n.&vi.演讲，讲课
lecture on	讲演…题目
lecturer	n. 演讲者,讲师
led	v. lead(领导)的过去式和过去分词
ledge	n. 暗礁；岩石的突出部分
ledger	n. 帐簿
lee	n. 背风处,避风处,庇护,保护,下风处
leech	n. 水蛭,吸血鬼,榨取他人利益的人
